==9384== Lackey, an example Valgrind tool
==9384== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==9384== Using Valgrind-3.13.0 and LibVEX; rerun with -h for copyright info
==9384== Command: ls
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229d38,8
I  04002201,2
I  040021e0,3
 L 04000d18,8
I  040021e3,3
I  040021e6,4
 L 04000d20,4
I  040021ea,6
I  040021f0,4
 L 04000d28,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229d70,8
I  04002201,2
I  040021e0,3
 L 04000d30,8
I  040021e3,3
I  040021e6,4
 L 04000d38,4
I  040021ea,6
I  040021f0,4
 L 04000d40,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229da0,8
I  04002201,2
I  040021e0,3
 L 04000d48,8
I  040021e3,3
I  040021e6,4
 L 04000d50,4
I  040021ea,6
I  040021f0,4
 L 04000d58,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229da8,8
I  04002201,2
I  040021e0,3
 L 04000d60,8
I  040021e3,3
I  040021e6,4
 L 04000d68,4
I  040021ea,6
I  040021f0,4
 L 04000d70,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229de0,8
I  04002201,2
I  040021e0,3
 L 04000d78,8
I  040021e3,3
I  040021e6,4
 L 04000d80,4
I  040021ea,6
I  040021f0,4
 L 04000d88,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229e18,8
I  04002201,2
I  040021e0,3
 L 04000d90,8
I  040021e3,3
I  040021e6,4
 L 04000d98,4
I  040021ea,6
I  040021f0,4
 L 04000da0,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229e48,8
I  04002201,2
I  04002203,8
 L 0422abb8,8
I  0400220b,6
I  04002211,3
I  04002214,7
I  0400221b,7
I  04002222,6
I  04002228,8
I  04002230,4
 L 04000db0,8
I  04002234,4
 L 04000da8,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 040004e4,1
I  0400225e,4
 L 040004e8,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021560,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000db8,8
I  040022e4,3
 S 04229fd8,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000dc8,8
I  04002234,4
 L 04000dc0,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 0400049c,1
I  0400225e,4
 L 040004a0,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021560,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000dd0,8
I  040022e4,3
 S 04229fe0,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000de0,8
I  04002234,4
 L 04000dd8,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 04000454,1
I  0400225e,4
 L 04000458,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021564,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000de8,8
I  040022e4,3
 S 0422a018,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000df8,8
I  04002234,4
 L 04000df0,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 0400067c,1
I  0400225e,4
 L 04000680,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021564,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000e00,8
I  040022e4,3
 S 0422a020,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000e10,8
I  04002234,4
 L 04000e08,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 040003f4,1
I  0400225e,4
 L 040003f8,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021564,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000e18,8
I  040022e4,3
 S 0422a028,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000e28,8
I  04002234,4
 L 04000e20,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 0400055c,1
I  0400225e,4
 L 04000560,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021564,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000e30,8
I  040022e4,3
 S 0422a030,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000e40,8
I  04002234,4
 L 04000e38,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 040004b4,1
I  0400225e,4
 L 040004b8,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021564,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000e48,8
I  040022e4,3
 S 0422a038,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000e58,8
I  04002234,4
 L 04000e50,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 040005ec,1
I  0400225e,4
 L 040005f0,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021564,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000e60,8
I  040022e4,3
 S 0422a040,8
I  040022e7,2
I  040022c8,4
I  040022cc,3
I  040022cf,6
I  04002230,4
 L 04000e70,8
I  04002234,4
 L 04000e68,8
I  04002238,3
I  0400223b,3
I  0400223e,4
I  04002242,3
I  04002245,4
I  04002249,3
I  0400224c,4
I  04002250,2
I  04002252,2
I  04002254,3
I  04002257,2
I  04002259,5
 L 04000484,1
I  0400225e,4
 L 04000488,8
I  04002262,7
 L 0422a9f0,8
I  04002269,3
I  0400226c,3
I  0400226f,6
I  04002275,4
I  04002279,4
I  0400227d,2
I  0400227f,4
 L 04021564,4
I  04002283,3
I  04002286,2
I  040022e0,4
 L 04000e78,8
I  040022e4,3
 S 0422a048,8
